"","i","ab","ac","ad","ae"
"94",94,0.91701030927835,0.0018450800339274,0.853153153153153,0.00125624628608722
"95",95,0.91701030927835,0.00210765814868506,0.853753753753754,0.00171197511276149
"96",96,0.915463917525773,0.00123939330294274,0.853753753753754,0.00171197511276149
"97",97,0.915850515463917,0.00196494209819289,0.852552552552553,0.00195771844000079
"98",98,0.915077319587629,0.001538316544628,0.851951951951952,0.00171197511276146
"99",99,0.916623711340206,0.000977174670625196,0.852852852852853,0.00150150150150152
"100",100,0.914690721649485,0.000576306179767985,0.852852852852853,0.00106172189367351
"101",101,0.916237113402062,0.0018785283166383,0.852552552552553,0.00268596754054027
"102",102,0.917268041237113,0.00304271107039117,0.854054054054054,0.00288819580505576
"103",103,0.916752577319588,0.00200675405958729,0.852852852852853,0.00212344378734698
"104",104,0.916237113402062,0.00170473666950037,0.853453453453453,0.00171197511276149
"105",105,0.917654639175258,0.00205782466787005,0.851651651651652,0.00268596754054027
"106",106,0.91610824742268,0.00123939330294274,0.852252252252252,0.00134298377027016
"107",107,0.916752577319588,0.00160436850489545,0.852552552552553,0.000671491885135082
"108",108,0.916365979381443,0.00166780658576607,0.852252252252252,0.000822406242500261
"109",109,0.916494845360825,0.000977174670625196,0.852252252252252,0.00134298377027016
"110",110,0.915335051546392,0.00133611091194121,0.853153153153153,0.00246721872750075
"111",111,0.916365979381443,0.00166780658576607,0.852852852852853,0.00106172189367351
"112",112,0.916365979381443,0.00200675405958729,0.851951951951952,0.00201447565540519
"113",113,0.915077319587629,0.000840103402732297,0.853453453453453,0.000822406242500261
"114",114,0.915979381443299,0.00155175187871034,0.852552552552553,0.00195771844000079
"115",115,0.916237113402062,0.00120543085914109,0.852852852852853,0.00237408232745374
"116",116,0.91701030927835,0.001538316544628,0.853453453453453,0.00171197511276149
"117",117,0.917654639175258,0.00166780658576612,0.851351351351351,0.00183895626335072
"118",118,0.917268041237113,0.00125603019907332,0.851351351351351,0.00106172189367347
"119",119,0.916237113402062,0.00101877501938414,0.852552552552553,0.00195771844000079
"120",120,0.916237113402062,0.00128865979381443,0.853153153153153,0.00125624628608722
"121",121,0.916623711340206,0.000734649114110267,0.854954954954955,0.00227713977298849
"122",122,0.917139175257732,0.00133611091194121,0.852252252252252,0.00134298377027016
