"","eta","max_depth","gamma","colsample_bytree","min_child_weight","subsample","nrounds","Accuracy","Kappa","AccuracySD","KappaSD"
"325",0.0075,6,0,0.25,1,0.25,250,0.834412737799835,0.221788178645215,0.00732326456263392,0.0458524125462782
"329",0.0075,6,0,0.25,1,0.5,250,0.833779983457403,0.240365778957176,0.014260160160821,0.0683161713174487
"333",0.0075,6,0,0.25,1,0.75,250,0.837009925558313,0.275479890804989,0.0177021297914528,0.0794094571733563
"337",0.0075,6,0,0.5,1,0.25,250,0.836356492969396,0.247125872112342,0.0130655460369035,0.0617071882876168
"341",0.0075,6,0,0.5,1,0.5,250,0.835711331679074,0.266635759087069,0.0134442071999383,0.0638024579696441
"345",0.0075,6,0,0.5,1,0.75,250,0.838928866832093,0.298799974753233,0.0170721469753602,0.0882785754811333
"349",0.0075,6,0,0.75,1,0.25,250,0.833779983457403,0.234581808833737,0.0113890205232364,0.0639472636768791
"353",0.0075,6,0,0.75,1,0.5,250,0.83894540942928,0.297420908063104,0.0193949366350381,0.0854422138823442
"357",0.0075,6,0,0.75,1,0.75,250,0.837650951199338,0.301989206616458,0.0196648681732942,0.103408478452648
"577",0.01,6,0,0.25,1,0.25,250,0.835049627791563,0.238605515923741,0.00818949646768971,0.0357739174260775
"581",0.01,6,0,0.25,1,0.5,250,0.839574028122415,0.278213301449597,0.0166375188874866,0.0832976506623863
"585",0.01,6,0,0.25,1,0.75,250,0.837005789909016,0.282550598802333,0.0161200727308638,0.0758267103447004
"589",0.01,6,0,0.5,1,0.25,250,0.833775847808106,0.232142845236655,0.00923595524685563,0.0512778572137048
"593",0.01,6,0,0.5,1,0.5,250,0.840227460711332,0.305204322927396,0.0189425785414275,0.0864471980507111
"597",0.01,6,0,0.5,1,0.75,250,0.839582299421009,0.313217501589405,0.0213928934096612,0.098759197936058
"601",0.01,6,0,0.75,1,0.25,250,0.837638544251447,0.265456109139392,0.0126690816021177,0.0731367108947502
"605",0.01,6,0,0.75,1,0.5,250,0.843453267162945,0.320657137426321,0.0192029364774533,0.0854569386053363
"609",0.01,6,0,0.75,1,0.75,250,0.84151364764268,0.327379121438127,0.0175714627547036,0.0815793121093881
