"","Obsclass","PredClass","ProbNotexceed","ProbExceed","SiteID"
"67522",0,"0",0.744,0.256,"67522"
"67536",1,"1",0.338,0.662,"67536"
"72620",0,"0",0.94,0.06,"72620"
"74941",0,"0",0.798,0.202,"74941"
"74997",0,"0",0.806,0.194,"74997"
"75151",0,"0",0.89,0.11,"75151"
"75187",0,"0",0.724,0.276,"75187"
"75340",0,"0",0.93,0.07,"75340"
"76324",0,"1",0.302,0.698,"76324"
"76411",0,"0",0.54,0.46,"76411"
"76432",1,"1",0.378,0.622,"76432"
"76511",0,"1",0.3,0.7,"76511"
"76551",1,"1",0.402,0.598,"76551"
"76676",0,"0",0.788,0.212,"76676"
"76804",1,"0",0.542,0.458,"76804"
"77244",0,"0",0.948,0.052,"77244"
"77274",1,"0",0.81,0.19,"77274"
"77300",0,"0",0.91,0.09,"77300"
"77544",0,"0",0.958,0.042,"77544"
"77551",0,"0",0.892,0.108,"77551"
"78245",0,"0",0.748,0.252,"78245"
"78608",1,"0",0.852,0.148,"78608"
"79875",0,"0",0.834,0.166,"79875"
"79892",0,"0",0.864,0.136,"79892"
"80004",1,"0",0.594,0.406,"80004"
"80352",0,"1",0.358,0.642,"80352"
"80533",0,"0",0.52,0.48,"80533"
"80587",0,"0",0.868,0.132,"80587"
"80625",0,"0",0.882,0.118,"80625"
"81969",0,"0",0.906,0.094,"81969"
"81970",0,"0",0.892,0.108,"81970"
"82000",1,"0",0.902,0.098,"82000"
"82086",0,"0",0.94,0.06,"82086"
"82265",1,"1",0.33,0.67,"82265"
"82479",0,"0",0.85,0.15,"82479"
"82640",0,"0",0.678,0.322,"82640"
"83125",1,"0",0.68,0.32,"83125"
"83264",0,"1",0.436,0.564,"83264"
"83326",0,"0",0.746,0.254,"83326"
"83593",1,"1",0.404,0.596,"83593"
"84280",0,"0",0.924,0.076,"84280"
"84306",1,"0",0.512,0.488,"84306"
"84319",0,"0",0.876,0.124,"84319"
"84357",0,"0",0.698,0.302,"84357"
"84404",1,"1",0.154,0.846,"84404"
"84501",1,"1",0.346,0.654,"84501"
"84504",0,"0",0.96,0.04,"84504"
"84649",1,"1",0.33,0.67,"84649"
"84667",1,"0",0.842,0.158,"84667"
"84679",0,"0",0.828,0.172,"84679"
"84707",0,"0",0.936,0.064,"84707"
"84894",0,"0",0.506,0.494,"84894"
"84899",0,"0",0.65,0.35,"84899"
"84910",0,"0",0.526,0.474,"84910"
