"","Obsclass","PredClass","ProbNotexceed","ProbExceed","SiteInfo","DataSource","SiteID","outcomeClass"
"1908_NNWells",0,"0",0.626,0.374,"1908_NNWells","NNWells",1908,0
"1913_NNWells",0,"1",0.428,0.572,"1913_NNWells","NNWells",1913,3
"1918_NNWells",0,"0",0.616,0.384,"1918_NNWells","NNWells",1918,0
"1944_NNWells",0,"0",0.526,0.474,"1944_NNWells","NNWells",1944,0
"1945_NNWells",0,"0",0.664,0.336,"1945_NNWells","NNWells",1945,0
"1954_NNWells",0,"0",0.686,0.314,"1954_NNWells","NNWells",1954,0
"1959_NNWells",0,"0",0.706,0.294,"1959_NNWells","NNWells",1959,0
"2009_NNWells",0,"0",0.784,0.216,"2009_NNWells","NNWells",2009,0
"2029_NNWells",0,"0",0.51,0.49,"2029_NNWells","NNWells",2029,0
"2067_NNWells",1,"1",0.43,0.57,"2067_NNWells","NNWells",2067,1
"2080_NNWells",0,"0",0.726,0.274,"2080_NNWells","NNWells",2080,0
"2609_NNWells",1,"0",0.914,0.086,"2609_NNWells","NNWells",2609,2
"2941_NNWells",1,"0",0.528,0.472,"2941_NNWells","NNWells",2941,2
"3166_NNWells",0,"0",0.992,0.008,"3166_NNWells","NNWells",3166,0
"3317_NNWells",1,"1",0.064,0.936,"3317_NNWells","NNWells",3317,1
"6870_NNWells",0,"0",0.764,0.236,"6870_NNWells","NNWells",6870,0
"6872_NNWells",0,"0",0.85,0.15,"6872_NNWells","NNWells",6872,0
"6875_NNWells",0,"0",0.914,0.086,"6875_NNWells","NNWells",6875,0
"6878_NNWells",0,"0",0.826,0.174,"6878_NNWells","NNWells",6878,0
"6889_NNWells",0,"0",0.816,0.184,"6889_NNWells","NNWells",6889,0
"6897_NNWells",1,"0",0.91,0.09,"6897_NNWells","NNWells",6897,2
"7190_NNWells",0,"0",0.896,0.104,"7190_NNWells","NNWells",7190,0
"7206_NNWells",0,"0",0.616,0.384,"7206_NNWells","NNWells",7206,0
"7229_NNWells",0,"0",0.998,0.002,"7229_NNWells","NNWells",7229,0
"7250_NNWells",0,"0",0.706,0.294,"7250_NNWells","NNWells",7250,0
"7430_NNWells",0,"0",0.98,0.02,"7430_NNWells","NNWells",7430,0
"12287_WQP",0,"0",0.714,0.286,"12287_WQP","WQP",12287,0
"12546_WQP",0,"0",0.924,0.076,"12546_WQP","WQP",12546,0
"12605_WQP",0,"0",0.988,0.012,"12605_WQP","WQP",12605,0
"12613_WQP",0,"0",0.99,0.01,"12613_WQP","WQP",12613,0
"12620_WQP",0,"0",0.978,0.022,"12620_WQP","WQP",12620,0
"12631_WQP",1,"0",0.598,0.402,"12631_WQP","WQP",12631,2
"12639_WQP",0,"0",0.982,0.018,"12639_WQP","WQP",12639,0
"12652_WQP",0,"0",0.952,0.048,"12652_WQP","WQP",12652,0
"12666_WQP",0,"0",0.97,0.03,"12666_WQP","WQP",12666,0
"12689_WQP",0,"0",0.866,0.134,"12689_WQP","WQP",12689,0
"19448_WQP",0,"0",0.886,0.114,"19448_WQP","WQP",19448,0
"19825_WQP",1,"1",0.43,0.57,"19825_WQP","WQP",19825,1
"19979_WQP",1,"1",0.336,0.664,"19979_WQP","WQP",19979,1
"20039_WQP",1,"1",0.258,0.742,"20039_WQP","WQP",20039,1
"34840_WQP",0,"0",0.75,0.25,"34840_WQP","WQP",34840,0
"34883_WQP",0,"0",0.876,0.124,"34883_WQP","WQP",34883,0
"34968_WQP",1,"0",0.688,0.312,"34968_WQP","WQP",34968,2
"34993_WQP",0,"0",0.78,0.22,"34993_WQP","WQP",34993,0
"35109_WQP",0,"0",0.838,0.162,"35109_WQP","WQP",35109,0
"35137_WQP",0,"0",0.944,0.056,"35137_WQP","WQP",35137,0
"35156_WQP",0,"0",0.916,0.084,"35156_WQP","WQP",35156,0
"35158_WQP",0,"0",0.976,0.024,"35158_WQP","WQP",35158,0
"35163_WQP",0,"0",0.932,0.068,"35163_WQP","WQP",35163,0
"35202_WQP",0,"0",0.936,0.064,"35202_WQP","WQP",35202,0
"35222_WQP",0,"0",0.928,0.072,"35222_WQP","WQP",35222,0
"40543_WQP",0,"0",0.936,0.064,"40543_WQP","WQP",40543,0
"41604_WQP",0,"0",0.596,0.404,"41604_WQP","WQP",41604,0
"41663_WQP",0,"0",0.894,0.106,"41663_WQP","WQP",41663,0
"41668_WQP",0,"0",0.968,0.032,"41668_WQP","WQP",41668,0
"41686_WQP",0,"0",0.972,0.028,"41686_WQP","WQP",41686,0
"41687_WQP",0,"1",0.362,0.638,"41687_WQP","WQP",41687,3
"42723_WQP",0,"0",0.972,0.028,"42723_WQP","WQP",42723,0
"42724_WQP",0,"0",0.884,0.116,"42724_WQP","WQP",42724,0
"42818_WQP",0,"0",0.99,0.01,"42818_WQP","WQP",42818,0
"43890_WQP",1,"0",0.782,0.218,"43890_WQP","WQP",43890,2
"43892_WQP",0,"0",0.882,0.118,"43892_WQP","WQP",43892,0
"43925_WQP",0,"0",0.916,0.084,"43925_WQP","WQP",43925,0
"44063_WQP",1,"0",0.628,0.372,"44063_WQP","WQP",44063,2
"44114_WQP",0,"0",0.984,0.016,"44114_WQP","WQP",44114,0
"44203_WQP",0,"0",0.994,0.006,"44203_WQP","WQP",44203,0
"44224_WQP",0,"0",0.962,0.038,"44224_WQP","WQP",44224,0
"44226_WQP",0,"0",0.994,0.006,"44226_WQP","WQP",44226,0
"51563_WQP",0,"0",0.832,0.168,"51563_WQP","WQP",51563,0
"51658_WQP",0,"0",0.758,0.242,"51658_WQP","WQP",51658,0
"51683_WQP",1,"0",0.786,0.214,"51683_WQP","WQP",51683,2
"51709_WQP",0,"0",0.752,0.248,"51709_WQP","WQP",51709,0
"51754_WQP",1,"0",0.872,0.128,"51754_WQP","WQP",51754,2
"51795_WQP",0,"0",0.866,0.134,"51795_WQP","WQP",51795,0
"51830_WQP",0,"0",0.93,0.07,"51830_WQP","WQP",51830,0
"51832_WQP",0,"1",0.466,0.534,"51832_WQP","WQP",51832,3
"51846_WQP",1,"0",0.83,0.17,"51846_WQP","WQP",51846,2
"51865_WQP",0,"0",0.866,0.134,"51865_WQP","WQP",51865,0
"51916_WQP",0,"0",0.876,0.124,"51916_WQP","WQP",51916,0
"51917_WQP",0,"0",0.93,0.07,"51917_WQP","WQP",51917,0
"51967_WQP",1,"1",0.334,0.666,"51967_WQP","WQP",51967,1
