"welldpth","latitude","longitude","u_ppb","state"
NA,37.2825,-108.0753,0.26,"CO"
NA,37.2194,-108.1264,1.05,"CO"
NA,37.2106,-108.1744,4.57,"CO"
NA,37.1756,-108.1378,3.22,"CO"
NA,37.1533,-108.1469,3.34,"CO"
NA,37.1917,-108.1339,4.96,"CO"
NA,37.2856,-108.2489,0.7,"CO"
NA,37.2978,-108.2981,11.9,"CO"
NA,37.27,-108.3069,4.58,"CO"
NA,37.2367,-108.3078,6.05,"CO"
NA,37.3589,-108.2542,0.62,"CO"
NA,37.3592,-108.2497,0.65,"CO"
NA,37.3306,-108.1881,0.51,"CO"
NA,37.3603,-108.1492,0.1,"CO"
NA,37.3592,-108.1586,0.24,"CO"
NA,37.3603,-108.2003,1.14,"CO"
NA,37.3842,-108.1361,0.36,"CO"
NA,37.3719,-108.2319,0.29,"CO"
NA,37.3706,-108.2317,0.1,"CO"
NA,37.3864,-108.2583,0.1,"CO"
NA,37.3958,-108.2033,0.1,"CO"
NA,37.4069,-108.1928,0.26,"CO"
NA,37.405,-108.1922,1.19,"CO"
NA,37.2389,-108.2906,2.1,"CO"
NA,37.3828,-108.3428,1.81,"CO"
NA,37.3794,-108.3658,2.43,"CO"
NA,37.3739,-108.3356,3.33,"CO"
NA,37.3697,-108.2992,0.1,"CO"
NA,37.345,-108.2808,0.25,"CO"
NA,37.3411,-108.3169,0.86,"CO"
NA,37.3158,-108.3381,9.1,"CO"
NA,37.2972,-108.3664,3.35,"CO"
NA,37.2983,-108.3633,4.72,"CO"
NA,37.3369,-108.3517,1.35,"CO"
NA,37.35,-108.3431,0.32,"CO"
NA,37.1542,-108.0533,7.48,"CO"
NA,37.14,-108.0758,1.29,"CO"
NA,37.3264,-108.0631,0.1,"CO"
NA,37.3381,-108.0614,0.2,"CO"
NA,37.3383,-108.0803,9.9,"CO"
NA,37.3644,-108.0775,0.1,"CO"
NA,37.3828,-108.0764,0.16,"CO"
NA,37.3956,-108.0658,0.1,"CO"
NA,37.4111,-108.0517,0.1,"CO"
NA,37.4253,-108.0422,0.1,"CO"
NA,37.1989,-108.0436,0.1,"CO"
NA,37.2136,-108.0731,0.1,"CO"
NA,37.1722,-108.0383,0.1,"CO"
NA,37.1722,-108.0372,82.8,"CO"
NA,37.9928,-108.0219,0.21,"CO"
NA,37.9772,-108.3617,3.4,"CO"
NA,37.9575,-108.3186,1.17,"CO"
NA,37.9833,-108.31,2.15,"CO"
NA,37.9064,-108.3344,0.89,"CO"
NA,37.9072,-108.3333,1.48,"CO"
NA,37.91,-108.3731,0.95,"CO"
NA,37.9561,-108.3425,2.13,"CO"
NA,37.9775,-108.2847,0.3,"CO"
NA,37.9442,-108.3103,0.44,"CO"
NA,37.9528,-108.2858,0.22,"CO"
NA,37.9922,-108.2925,0.1,"CO"
NA,37.9697,-108.2897,1.85,"CO"
NA,37.9608,-108.2519,0.26,"CO"
NA,37.9683,-108.1961,0.45,"CO"
NA,37.97,-108.1947,0.72,"CO"
NA,37.9361,-108.1672,0.23,"CO"
NA,37.9517,-108.1264,0.2,"CO"
NA,37.9239,-108.1319,0.45,"CO"
NA,37.9206,-108.1303,0.1,"CO"
NA,37.9697,-108.1058,0.82,"CO"
NA,37.9919,-108.1097,0.37,"CO"
NA,37.9272,-108.205,0.1,"CO"
NA,37.8964,-108.1944,0.16,"CO"
NA,37.8958,-108.1928,0.1,"CO"
NA,37.9189,-108.1636,0.1,"CO"
