"well_id","U","As","Fl_combined"
941,NA,3,0.77
946,NA,NA,NA
947,NA,NA,1
950,NA,17,0.1
951,NA,21,0.11
952,NA,12,0.1
953,NA,36,0.2
954,0.036,10.15,0.106
956,NA,NA,1
957,NA,19,0.1
958,NA,15,0.1
959,NA,13,0.2
960,NA,NA,0
961,NA,19,0.1
962,NA,6,0.1
963,0.3688,64.25,0.47125
964,NA,54,NA
965,NA,NA,NA
966,NA,6,NA
967,NA,NA,1.9
977,1.22475597994444,2.00712473866667,0.371413126666667
980,0.608173945,0.637483079,NA
981,0.3212147845,2.283524923,NA
987,0.7126770695,2.1071849535,NA
988,0.640596787,3.023400458,NA
989,1.5159262275,1.8054632725,NA
993,1.2542233204,0.9913635098,0.357565406666667
996,0.429196682266667,1.5470872924,0.295605313333333
998,0.909582815416667,1.84927556009091,NA
999,1.188976663,0.839962666,NA
1001,0.583136432,1.886373897,NA
1002,0.9145039805,0.085240545,NA
1010,0.6882792465,1.8882313695,NA
1011,0.5916156735,0.8978401675,NA
1013,0.315511607,1.2644551705,NA
1016,1.0925441695,1.31991712,NA
1025,0.5064496527,0.886906804,0.238193866666667
1028,0.584016465545455,1.27186017508333,NA
1032,0.3952364635,0.934979667,NA
1033,2.934678121,0.84624827,NA
1035,2.02016926366667,1.26753035766667,NA
1041,0.276557539,1.19611924125,NA
1042,5.9124203845,0.6605822785,0.460344855
1050,NA,NA,0.4
1080,0.409658709909091,3.3611294665,0.274453293333333
1083,NA,NA,0.2
1084,NA,NA,NA
1085,NA,NA,NA
1092,0.768744021,1.2373631535,NA
1093,0.4005729592,0.628312298625,NA
1094,0.456165900571429,1.24683737375,NA
1099,0.9115399375,1.195519124,NA
1100,0.521456257769231,0.553286458636364,NA
1102,0.622760631421053,0.552398692882353,0.18426164
1111,0.3414539815,1.750349898,NA
1117,0.69046980075,1.56774221675,NA
1150,3.6,NA,NA
1180,3.1039754985,0.165911134,NA
1181,2.95687537016667,8.8696505412,6.531657432
1187,0.68452745525,1.13689759775,0.306506813333333
1193,0.738671599666667,1.80365363766667,NA
1194,0.52583831175,0.855283252,0.371953743333333
1195,4.15488259709091,1.02949644942857,2.59143214775
1197,0.220965843,0.550565407666667,0.48764996
1198,2.70691162283333,5.1309670875,20.68814406
1199,0.567607655,2.4619310715,NA
1201,1.477940171,1.5480622575,NA
1224,1.11998088275,1.76272696742857,NA
1225,176.40838824,11.29893752,NA
1226,2.7305821095,5.1070077645,NA
1229,4.522726781,2.019207605,0.5512161
1230,1.1179975805,11.773780165,2.56455424
1239,6.01,1.45585289633333,NA
1240,8.77769469086667,4.98214870494118,0.861082772
1249,3.6,NA,NA
1263,7,1,NA
1264,4.57759799375,0.543879658545455,NA
1265,0.39428433025,3.9351283785,NA
1267,0.350149527,2.15839183418182,NA
1276,0.540988571666667,1.230550107,NA
1277,0.5537446355,43.97497373,NA
1278,0.310706239285714,0.854127829833333,NA
1281,0.709888552,3.784630642,NA
1284,0.318301552,0.121203103,NA
1289,0.8388406225,0.6156505765,NA
1294,0.2045567,0.473531871,NA
1298,0.785,26,0.394
1304,0.19735617,0.199132584,NA
1305,2.7,NA,NA
1319,3,NA,NA
1323,2.9,NA,NA
1325,3.57051966414286,0.3171890954,1.18198416666667
1328,3.2,NA,NA
1348,4.7004013555,4.02598601266667,0.58417177
1350,3.95395423483333,2.11473524025,1.2159047
1355,2.1387243926,8.290964597375,NA
1371,3.79998267414286,1.292628428,NA
1372,3.4,NA,NA
1381,3.15098979228571,3.6662508748,NA
1394,3.07358745616667,2.2727697,0.81786406
1396,5.03862788566667,0.431577173666667,1.25803626
1397,3.15792820553846,6.293546009125,3.69300018
1403,1.21795918757143,14.6130085594,1.27441402
1424,0.143192057285714,12.0328760278889,NA
1425,0.667057211428571,2.72581642522222,NA
1429,5.0482536013913,3.78560948330435,NA
1434,0.759553941666667,6.34040927233333,NA
1437,0.4447624296,4.08923212416667,NA
1439,0.3919872255,4.72382594190909,NA
1459,29.9640933555556,13.20476951175,NA
1472,9.81885476957143,3.2971587299,NA
1475,1.1803449016,6.6820430925,NA
1504,7.32487095766667,4.905569754,NA
1528,17.668949568,2.47062111575,NA
1530,NA,NA,0.38
1531,NA,NA,NA
1532,NA,NA,0.3
1533,NA,NA,0.4
1534,NA,NA,0.425
1538,1.58884600142857,0.43785733025,NA
1539,NA,NA,0.53
1544,NA,NA,0.46
1554,NA,NA,1.3
1557,NA,NA,0.4
1558,NA,NA,0.305
1564,NA,NA,0.21
1565,NA,NA,NA
1567,1.6860877528,0.85698234425,NA
1569,NA,NA,NA
1570,NA,NA,NA
1571,NA,NA,NA
1572,NA,NA,NA
1573,NA,NA,0.81
1576,NA,NA,1
1581,3,3,NA
1582,NA,NA,0.63
1587,16.3667819828571,1.4707044176,NA
1588,130,11,0.49
1590,3.56538291866667,0.793426582666667,0.2
1591,2.13054264566667,4.44285817566667,NA
1629,NA,NA,0.67
1631,NA,NA,0.7
1736,2.99946320466667,10.683919279,NA
1739,NA,NA,0.5
1747,NA,NA,0.2
1752,9,8,NA
1753,3,1,NA
1770,0.6864961185,0.7477256085,NA
1775,NA,NA,2.5
1776,1,1,NA
1798,1.676929312,4.1847535095,NA
1812,NA,NA,0.2
1817,NA,NA,2.9
1819,NA,23,0.1
1820,NA,NA,0.95
1823,NA,NA,0.9
1824,NA,4,4.2
1828,0.3323830045,2.6472607255,NA
1832,NA,NA,0.8
1834,NA,NA,0.5
1835,NA,NA,1.2
1836,NA,NA,0.5
1837,NA,NA,0.4
1838,NA,NA,0.8
1840,NA,NA,0.5
1841,NA,NA,0.7
1850,NA,NA,1.8
1862,0.72861177075,0.74740516625,NA
1864,12,1,NA
1871,1.661435748,0.6488832285,NA
1872,32,1,NA
1873,10,2,NA
1875,12,1,NA
1885,21,1,NA
1888,7.09331642233333,0.487639871666667,NA
1894,24.5751888516667,7.35345206366667,NA
1901,1,1,NA
1902,20,1,NA
1905,NA,10,NA
1906,17.2124306,0.252990918,NA
1907,31,0.69,1.59
1908,1.7209567545,4.67944392425,NA
1910,11,9,NA
1913,1,2,NA
1918,39.5,0.75,1.03
1943,4,4,NA
1944,4,2,NA
