"","i","Train_Error","Train_SD","Test_Error","Test_SD"
"53",53,0.913015463917526,0.00101877501938414,0.766666666666667,0.00171197511276145
"54",54,0.915335051546392,0.00324092173710294,0.764564564564565,0.00164481248500048
"55",55,0.914819587628866,0.00255304288094831,0.764264264264264,0.00571754737677469
"56",56,0.913659793814433,0.00128865979381443,0.764564564564565,0.00125624628608717
"57",57,0.916237113402062,0.00198595811951319,0.766666666666667,0.00405683365949139
"58",58,0.914432989690722,0.00229620227850585,0.766066066066066,0.00268596754054029
"59",59,0.914819587628866,0.00229620227850585,0.766366366366366,0.0044541732655229
"60",60,0.916623711340206,0.00324092173710294,0.766966966966967,0.0035847857015956
"61",61,0.915721649484536,0.00229620227850585,0.763063063063063,0.00222708663276146
"62",62,0.916494845360825,0.00279374785936585,0.763963963963964,0.00195771844000077
"63",63,0.914175257731959,0.00115261235953597,0.765465465465465,0.00402895131081043
"64",64,0.912886597938144,0.00229620227850585,0.763663663663664,0.00251249257217439
"65",65,0.914432989690722,0.00178794290277211,0.765465465465465,0.00195771844000077
"66",66,0.914432989690722,0.00320226124736833,0.763963963963964,0.000671491885135082
"67",67,0.914690721649485,0.00252031020819689,0.761861861861862,0.00537193508108056
"68",68,0.91430412371134,0.0017645700950553,0.766066066066066,0.00594943326010779
"69",69,0.912757731958763,0.00185629642923813,0.767867867867868,0.00481886082158595
"70",70,0.914432989690722,0.00225054757687795,0.763063063063063,0.00268596754054027
"71",71,0.915077319587629,0.0022039473423308,0.762462462462463,0.000671491885135082
"72",72,0.914046391752577,0.00366192583463473,0.767267267267267,0.00352133315302058
"73",73,0.91520618556701,0.00174088351625081,0.764864864864865,0.00171197511276144
"74",74,0.916365979381443,0.00215634027457235,0.763963963963964,0.00594943326010778
"75",75,0.91430412371134,0.0022780501971216,0.767267267267267,0.00183895626335076
"76",76,0.915721649484536,0.00195434934125039,0.763963963963964,0.00416649757522872
"77",77,0.914561855670103,0.00107817013728618,0.765765765765766,0.00437759151264664
"78",78,0.913530927835052,0.0022039473423308,0.766666666666667,0.00504736826245395
"79",79,0.913530927835052,0.00115261235953597,0.764564564564565,0.00358478570159559
"80",80,0.91520618556701,0.00191139136265351,0.765465465465465,0.00358478570159559
"81",81,0.913659793814433,0.00091122007884864,0.765465465465465,0.00513592533828443
"82",82,0.914561855670103,0.00382820896327652,0.763063063063063,0.00222708663276146
"83",83,0.915335051546392,0.00168020680546459,0.764864864864865,0.00345671604601241
"84",84,0.915077319587629,0.00293152401187559,0.765165165165165,0.00171197511276144
"85",85,0.915077319587629,0.00263309494094104,0.763663663663664,0.00272761293161936
"86",86,0.914690721649485,0.00174088351625081,0.765165165165165,0.00345671604601241
"87",87,0.914690721649485,0.003076633089256,0.765465465465465,0.00288819580505575
"88",88,0.914046391752577,0.0017408835162508,0.764564564564565,0.00222708663276144
"89",89,0.915592783505155,0.00309009763100045,0.766966966966967,0.00373870858798462
"90",90,0.914561855670103,0.00107817013728618,0.765465465465465,0.0037387085879846
"91",91,0.914175257731959,0.00210765814868506,0.765465465465465,0.00613598100351431
"92",92,0.913015463917526,0.00128865979381443,0.765765765765766,0.00106172189367347
"93",93,0.913144329896907,0.001538316544628,0.765165165165165,0.00272761293161935
"94",94,0.913659793814433,0.00213700050924961,0.764264264264264,0.00212344378734696
"95",95,0.914046391752577,0.00161725520592926,0.768468468468468,0.00288819580505575
"96",96,0.914819587628866,0.00123939330294274,0.764564564564565,0.00268596754054028
"97",97,0.917139175257732,0.00117048338431604,0.762462462462462,0.00524451927825016
"98",98,0.913659793814433,0.00213700050924961,0.763963963963964,0.00594943326010782
"99",99,0.914561855670103,0.00354674199601104,0.764264264264264,0.00486542094475066
"100",100,0.913788659793814,0.00123939330294274,0.765765765765766,0.00352133315302058
"101",101,0.914819587628866,0.00293152401187559,0.763663663663664,0.00311357978278193
"102",102,0.913273195876289,0.00174088351625081,0.765465465465465,0.00555758424123775
"103",103,0.914432989690722,0.00172891853930396,0.763063063063063,0.0049115397098487
"104",104,0.914175257731959,0.000840103402732297,0.763363363363363,0.00292696526871141
"105",105,0.916494845360825,0.00307663308925604,0.767567567567568,0.00373870858798461
"106",106,0.915979381443299,0.000734649114110267,0.763363363363363,0.0036160944681058
"107",107,0.914819587628866,0.00251206039814663,0.766366366366366,0.00624523553846409
"108",108,0.91430412371134,0.00182244015769728,0.764564564564565,0.00246721872750072
"109",109,0.912628865979381,0.00221334588109763,0.763363363363363,0.00504736826245396
"110",110,0.914561855670103,0.00179951546955785,0.767267267267267,0.00280905209217262
"111",111,0.915850515463917,0.0017408835162508,0.765165165165165,0.00272761293161934
"112",112,0.914046391752577,0.00161725520592926,0.765465465465465,0.00342395022552293
"113",113,0.915592783505155,0.00101877501938414,0.767567567567568,0.00268596754054029
"114",114,0.914819587628866,0.00123939330294274,0.764264264264264,0.00486542094475066
"115",115,0.914432989690722,0.00229620227850585,0.764564564564565,0.00416649757522872
"116",116,0.914948453608247,0.00318927027597029,0.766666666666667,0.00227713977298844
"117",117,0.913917525773196,0.00211748411406636,0.763963963963964,0.00491153970984871
"118",118,0.915077319587629,0.001538316544628,0.763363363363363,0.00624523553846409
"119",119,0.915463917525773,0.00323451041185853,0.763963963963964,0.00455427954597691
"120",120,0.914561855670103,0.00279374785936582,0.761261261261261,0.00280905209217267
"121",121,0.915463917525773,0.00132048334612881,0.764264264264264,0.00335745942567536
"122",122,0.915463917525773,0.000955695681326757,0.765765765765766,0.00787394030157771
"123",123,0.912886597938144,0.00376809059721995,0.762762762762763,0.00609912793140841
"124",124,0.91430412371134,0.00193298969072164,0.763063063063063,0.00442879315428009
"125",125,0.91520618556701,0.00234981733618691,0.767267267267267,0.00424688757469399
