"","well_id","Alkalinity","As","B","Bicarbonate","Ca","Carbonate","Fe","pH","Si","SO4-","SpecificConductance","U"
"399",870,NA,NA,20,179,49,0,20,7.4,27,5.7,360,0.38
"400",872,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,0.95
"401",873,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,1.9
"402",875,NA,NA,30,157,35,0,20,7.6,26,6.5,280,1.6
"403",876,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,1.2
"404",877,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,1.4
"405",878,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,0.89
"406",879,NA,NA,1300,653,4.9,NA,50,NA,15,200,1340,NA
"407",880,NA,NA,1700,890,6.9,NA,20,NA,19,170,1710,NA
"408",883,NA,NA,NA,530,56,0,0,8.1,24,382,3330,NA
"409",884,NA,NA,250,561,76,NA,10,NA,24,120,1140,NA
"410",885,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,2.6
"411",887,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,21.4
"412",891,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,0.9
"413",892,NA,NA,40,178,43,NA,10,6,26,11,290,1.7
"414",893,NA,NA,20,158,48,NA,10,7,24,6.3,290,0.47
"415",894,NA,NA,100,315,120,NA,10,8,12,140,820,3.7
"416",919,NA,2.1023907,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0227728235
"417",920,NA,NA,NA,184,113,0,NA,7.1,19,413,1190,NA
"418",940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,529,NA
"419",941,NA,3,250,530,10,5,120,NA,9,62,1320,NA
"420",946,NA,NA,NA,128,34,0,NA,NA,NA,39,318,NA
"421",947,NA,NA,140,357,244,0,NA,7.5,19,1170,2780,NA
"422",950,NA,17,NA,NA,2.5,NA,NA,8.9,11,47,457,NA
"423",951,NA,21,60,198,3,10,60,NA,12,51,420,NA
"424",952,NA,12,NA,NA,3.4,NA,NA,8.85,11,52,373,NA
"425",953,NA,36,NA,NA,2.9,NA,NA,8.75,10,53,572,NA
"426",954,NA,10.1,20,NA,3.095,NA,6,8.7,10.7,45.8,417,0.0355
"427",956,NA,NA,NA,486,24,0,NA,NA,11,59,867,NA
"428",957,NA,19,20,183.5,3.4,0,20,8.45,11,47,382,NA
"429",958,NA,15,NA,NA,3.1,NA,NA,8.7,11,49,405,NA
"430",959,NA,13,NA,259,21.25,7,NA,8.8,10.5,79,425,NA
"431",960,NA,NA,NA,246,NA,20,NA,NA,NA,60,NA,NA
"432",961,NA,19,NA,NA,3,NA,NA,8.95,11,44,467,NA
"433",962,NA,6,NA,NA,3.6,NA,NA,8.45,12,43,377,NA
"434",963,NA,65.35,110,350,1.85,13,7,8.8,11,50.9,790,0.37
"435",964,NA,54,NA,NA,NA,NA,NA,9.1,NA,NA,775,NA
"436",965,NA,NA,NA,360,NA,NA,NA,7.5,NA,NA,NA,NA
"437",966,NA,6,NA,NA,180,NA,NA,7.85,10,5000,15250,NA
"438",967,NA,NA,NA,962,3.65,63,NA,8.7,9.25,278,1920,NA
"439",977,NA,2.047312442,NA,NA,18.43007991,NA,NA,NA,NA,NA,NA,1.273060824
"440",980,NA,0.637483079,NA,NA,22.13238971,NA,NA,NA,NA,NA,NA,0.608173945
"441",981,NA,2.283524923,NA,NA,15.11899232,NA,NA,NA,NA,NA,NA,0.3212147845
"442",987,NA,2.1071849535,NA,NA,17.35487076,NA,NA,NA,NA,NA,NA,0.7126770695
"443",988,NA,3.472944745,NA,NA,26.11053708,NA,NA,NA,NA,NA,NA,0.656427591
"444",989,NA,1.8054632725,NA,NA,47.43333169,NA,NA,NA,NA,NA,NA,1.5159262275
"445",993,NA,1.005613514,NA,NA,24.44342165,NA,NA,NA,NA,NA,NA,1.31
"446",996,NA,1.458779857,NA,NA,16.77862961,NA,NA,NA,NA,NA,NA,0.360356369
"447",998,NA,1.883985968,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.934461186
