"","well_id","Alkalinity","As","B","Bicarbonate","Ca","Carbonate","Fe","pH","Si","SO4-","SpecificConductance","U"
"877",7040,NA,1.432182306,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.16217521
"878",7041,NA,12.28619831,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.080087506
"879",7042,NA,10.94076313,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.898167879
"880",7043,NA,15.8171204,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.18116253
"881",7044,NA,0.779433199,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.37166019
"882",7045,NA,2.759362074,NA,NA,35.97437005,NA,NA,NA,NA,NA,NA,16.873863025
"883",7046,NA,63.876343355,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.2675417255
"884",7047,NA,1.168690618,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.10250866
"885",7048,NA,0.833958867,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.63
"886",7049,NA,1.559635708,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.80592816
"887",7050,NA,5.127290546,NA,NA,87.16739732,NA,NA,NA,NA,NA,NA,3.4024926895
"888",7051,NA,0.832897204,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.98
"889",7052,NA,1.4798123135,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.36
"890",7053,NA,1.540512471,NA,NA,NA,NA,NA,3.84,NA,NA,NA,215.4611058
"891",7054,NA,0.588204494,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4008255245
"892",7055,NA,8.09404552,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.7952173
"893",7056,NA,0.085240545,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.640567302
"894",7057,NA,2.209959105,NA,NA,20.06475222,NA,NA,NA,NA,NA,NA,0.823466881
"895",7058,NA,32.72588759,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.58092424
"896",7059,NA,2.169422,NA,NA,29.13942813,NA,NA,NA,NA,NA,NA,1.044475507
"897",7060,NA,1.662258487,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.26946825
"898",7061,NA,2.729927661,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.611464988
"899",7062,NA,3.37308196,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.852098177
"900",7063,NA,3.341024943,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.130290199
"901",7064,NA,15.064240235,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.56550998
"902",7065,NA,9.252267405,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.050661345
"903",7066,NA,3.463973412,NA,NA,54.422497955,NA,NA,NA,NA,NA,NA,0.405607123
"904",7067,NA,7.4656278,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.29708308
"905",7068,NA,1.114815794,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.454257005
"906",7069,NA,3.352904501,NA,NA,21.12489363,NA,NA,NA,NA,NA,NA,2.939623308
"907",7070,NA,1.867776788,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.685934209
"908",7071,NA,3.621100263,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.331897296
"909",7073,NA,21.04640512,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.48983821
"910",7074,NA,41.280599735,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.14925314
"911",7075,NA,23.849965615,NA,NA,32.19096904,NA,NA,NA,NA,NA,NA,4.085104097
"912",7077,NA,2.508431271,NA,NA,23.24910161,NA,NA,NA,NA,NA,NA,0.982315428
"913",7078,NA,2.2304759,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.754363452
"914",7079,NA,3.5537324995,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.483577242
"915",7080,NA,11.10561375,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.587988878
"916",7081,NA,0.103276175,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.595727772
"917",7082,NA,1.186589487,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.748100164
"918",7083,NA,0.359602779,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.698787034
"919",7084,NA,1.074462446,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.04457147
"920",7085,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,11
"921",7087,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,1.4
"922",7088,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,2.8
"923",7089,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,0.29
"924",7090,NA,NA,NA,NA,NA,NA,NA,7.52,NA,NA,NA,3.2
"925",7091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34
"926",7092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2
"927",7093,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,0.92
"928",7094,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,0.69
"929",7095,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,6
"930",7096,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,1.4
"931",7097,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,13
"932",7099,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,0.79
"933",7100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4
"934",7101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6
"935",7102,NA,NA,NA,NA,NA,NA,NA,9.61,NA,NA,1044,NA
"936",7103,NA,NA,NA,NA,NA,NA,NA,7.45,NA,NA,451.3,7.5
"937",7104,NA,NA,NA,NA,NA,NA,NA,7.83,NA,NA,1084,43
"938",7105,NA,NA,NA,NA,NA,NA,NA,7.37,NA,NA,676,3.9
"939",7106,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,2.3
"940",7107,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,33.5
"941",7108,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,17
"942",7109,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,18
"943",7110,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,1.7
"944",7111,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,3.7
"945",7112,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,11
"946",7113,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,0.1
"947",7114,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,4.2
"948",7115,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,13
"949",7116,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,5.9
"950",7117,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,0.41
"951",7118,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA
"952",7119,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,3.2
"953",7120,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,7.5
"954",7121,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,1.3
"955",7122,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,21
"956",7123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41
"957",7124,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,6.2
"958",7125,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,5
"959",7126,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,0.5
"960",7127,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,1.4
"961",7128,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,14
"962",7129,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,8.2
"963",7131,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,2.6
"964",7132,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,1.8
"965",7133,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,5.8
"966",7135,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,2
"967",7136,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,1.3
"968",7137,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,24
"969",7139,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,1.9
"970",7140,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,0.1
"971",7141,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,9.3
"972",7142,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,3.3
"973",7143,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,41
"974",7144,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,0.1
"975",7145,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,0.1
"976",7146,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,1.35
"977",7147,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,8.4
"978",7148,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,16
"979",7149,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,8.6
"980",7150,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,4.1
"981",7151,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,11
"982",7152,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,180
"983",7153,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,5.2
"984",7154,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,71
"985",7155,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,51
"986",7156,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,1.7
"987",7157,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,11
"988",7158,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,5.5
"989",7159,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,24
"990",7160,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,5.4
"991",7161,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,5.9
"992",7162,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,7.4
"993",7166,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,2.6
"994",7170,NA,NA,1700,661,20,112,20,8.9,33,140,1500,NA
"995",7176,NA,NA,100,164,2.9,2,10,8.4,15,11,370,NA
"996",7179,NA,NA,30,138,23,0,150,7.8,19,13,260,NA
"997",7180,NA,NA,230,82,2.8,69,300,10,15,35,500,NA
"998",7181,NA,NA,90,179,7,0,10,8.1,17,17,510,NA
"999",7182,NA,12,870,827,10,0,210,8.25,16,260,2200,NA
"1000",7183,NA,NA,NA,460,44,10,NA,NA,NA,163,2820,NA
"1001",7184,NA,NA,NA,351.5,14.5,12.5,NA,NA,NA,132.5,NA,NA
"1002",7187,NA,NA,NA,532,18,45,NA,8.9,18,122,1410,NA
"1003",7188,NA,NA,NA,500,80,0,NA,8,21,243,2970,NA
"1004",7189,NA,1,2900,378.5,720,0,65010,6,6.2,2000,86400,NA
"1005",7190,494,1,553,562.5,29,0,30.5,7.9,17.5,220,1800,0
"1006",7191,NA,NA,1000,580,15,0,10,8,7.8,240,1700,NA
"1007",7196,NA,NA,690,415,11.5,19,10,8.7,13,158,1870,NA
"1008",7197,NA,NA,550,529,26,NA,40,NA,20,170,1250,NA
"1009",7198,NA,NA,1200,490,81,NA,10,NA,10,1100,5500,NA
"1010",7199,NA,NA,NA,81,NA,0,NA,6.8,NA,1845,91650,NA
"1011",7200,NA,NA,440,723,39,NA,20,NA,19,65,1280,NA
"1012",7201,NA,5,540,NA,41,NA,360,8,19,330,1340,NA
"1013",7204,NA,NA,NA,150,657,0,NA,7.2,25,1760,59300,NA
"1014",7205,NA,NA,NA,478,2.8,43,0,8.8,15,176,1580,NA
"1015",7206,NA,3,470,NA,30,NA,2300,8.05,22,100,1115,NA
"1016",7207,NA,NA,220,257,65,NA,10,NA,17,210,900,NA
"1017",7208,NA,NA,NA,174,98,NA,NA,NA,8.5,3720,9490,NA
"1018",7210,NA,NA,460,619,5.7,NA,120,NA,19,93,1180,NA
"1019",7211,NA,NA,130,162,3.2,4,10,8.3,7.8,13,330,NA
"1020",7212,NA,NA,40,153,45,NA,20,NA,21,8.3,280,NA
"1021",7213,NA,23,120,NA,2.8,NA,12,9.15,39,11,329.5,NA
"1022",7214,NA,NA,810,461,25,0,20,7.9,14,240,1100,NA
"1023",7215,NA,NA,50,167,24,NA,10,NA,20,8.4,280,NA
"1024",7216,NA,NA,80,189,2.8,NA,10,NA,19,10,300,NA
"1025",7220,NA,NA,20,161,42,0,20,7.3,30,6.2,300,NA
"1026",7222,NA,NA,450,485,36,0,50,7.2,15,200,1220,NA
"1027",7223,NA,NA,NA,142,41,0,10,7.5,19,12,300,NA
"1028",7224,NA,NA,280,428,69,NA,10,NA,16,190,920,NA
"1029",7225,NA,1,190,NA,67,NA,1200,7.8,15,230,976,NA
"1030",7226,NA,2,180,NA,63,NA,290,8.3,14,200,940,NA
"1031",7227,NA,NA,NA,NA,98,NA,NA,7.9,16,370,1360,NA
"1032",7229,NA,1,170,NA,89,NA,9,8.1,13,270,1040,NA
"1033",7230,NA,1,200,NA,93,NA,7,8.2,15,280,1200,NA
"1034",7231,NA,5,920,NA,19,NA,660,8.1,15,25,1760,NA
"1035",7236,NA,1,170,NA,76,NA,10,7.9,11,280,1090,NA
"1036",7238,NA,NA,230,850,100,NA,10,NA,20,3.4,1160,NA
"1037",7239,NA,1,250,NA,100,NA,190,7.6,14,340,1255,16
"1038",7240,NA,NA,450,534.5,66.5,0,25,7.8,17.5,189.5,1180,NA
"1039",7245,NA,NA,1300,1010,4.2,NA,210,NA,9.9,88,1280,NA
"1040",7246,NA,NA,950,930,6,NA,60,NA,11,61,1250,NA
"1041",7247,NA,1,330,NA,130,NA,790,7.55,15,480,1690,23
"1042",7248,NA,NA,NA,146,17,0,NA,NA,3.2,8.8,NA,NA
"1043",7249,NA,NA,20,172,28,0,10,7.5,23,18,410,NA
"1044",7250,NA,2,380,NA,190,NA,1500,7.7,15,760,2095,NA
"1045",7251,NA,NA,960,825,92,NA,10,NA,20,640,2500,NA
"1046",7252,NA,14,236.5,478,117,NA,1210,7.35,19.85,168,1330,NA
"1047",7253,NA,NA,NA,1240,4,51,145,8.7,12,170,2340,NA
"1048",7254,NA,1,170,NA,88,NA,20,7.85,13,280,1040,8
"1049",7255,NA,1,135,295.5,91.5,0,30.5,7.75,15,195,940,NA
"1050",7256,NA,1,160,NA,75,NA,360,7.55,11,140,829.5,NA
"1051",7257,NA,NA,170,342,110,0,805,7.5,9,250,1030,NA
"1052",7258,NA,1,195,199,90.5,0,50,7.7,15,290,1040,NA
"1053",7259,NA,NA,NA,356,137,0,NA,7,13,462,1360,NA
"1054",7260,NA,1,570,NA,210,NA,300,7.4,7.4,480,1520,NA
"1055",7274,NA,NA,NA,169.5,117.5,3,70,7.6,9.3,250,794.5,NA
"1056",7276,NA,NA,NA,282,110,0,NA,NA,13,180,854,NA
"1057",7279,NA,NA,NA,573.5,33.5,12,90,8.2,NA,91,1235,NA
"1058",7280,NA,4,590,NA,18,NA,50,7.95,14,65,885,38
"1059",7286,NA,NA,NA,130,172,NA,NA,9.5,NA,500,1210,NA
"1060",7292,NA,NA,NA,280,90,0,1005,7.2,15,59,562,NA
"1061",7312,NA,NA,NA,610,11,8,1240,8.4,10,200,1930,NA
"1062",7319,NA,NA,NA,NA,31,NA,1600,7.8,9.4,NA,829.5,NA
"1063",7321,NA,NA,NA,NA,75,NA,31,7.4,11,NA,2775,NA
"1064",7326,NA,NA,1100,170,200,0,90,7.5,8.4,1805,3460,NA
"1065",7328,NA,NA,NA,300,1.2,32,90,9.2,19,57,717,NA
"1066",7372,NA,NA,NA,296,134,0,NA,7.7,16,319,1070,NA
"1067",7382,NA,NA,NA,590,14,0,1210,8,8.4,130,1560,NA
"1068",7385,NA,NA,NA,475,27.5,0,345,7.7,9.25,65.5,1056.5,NA
"1069",7386,NA,NA,NA,280,29,0,NA,NA,13,460,1510,NA
"1070",7387,NA,NA,NA,258,39,13,NA,8.7,31,493,1510,NA
"1071",7388,NA,NA,NA,545,13,0,365,7.8,11,77,1200,NA
"1072",7389,NA,NA,NA,575,24.5,0,520,7.75,10.5,96,1340,NA
"1073",7390,NA,NA,NA,305,390,0,0,7.1,25,2350,3930,NA
"1074",7391,NA,NA,NA,380,100,0,NA,7.2,16,380,1310,NA
"1075",7392,NA,NA,NA,350,31,0,50,8,11,240,1210,NA
"1076",7393,NA,NA,NA,300,22,6,NA,8.4,16,310,1310,NA
"1077",7396,NA,NA,NA,380,98.5,0,NA,7.5,20,350,646.5,NA
"1078",7397,NA,NA,NA,330,110,NA,NA,NA,NA,410,1230,NA
"1079",7398,NA,NA,NA,345,108.5,0,90,7.7,12,380,1195,NA
"1080",7399,NA,NA,NA,442,110,0,NA,7.7,16,351,1330,NA
"1081",7401,NA,NA,NA,400,79,0,450,7.6,16,300,1220,NA
"1082",7402,NA,NA,NA,280,150,0,960,7.3,20,510,1340,NA
"1083",7403,NA,NA,NA,320,87,NA,NA,7.5,30,350,1160,NA
"1084",7404,NA,NA,NA,315,125,NA,25,7.65,16,380,1150,NA
"1085",7405,NA,NA,NA,440,NA,0,20,7.5,NA,NA,1320,NA
"1086",7406,NA,NA,NA,480,83,0,130,7.3,14,310,1310,NA
"1087",7407,NA,NA,NA,240,100,0,NA,NA,13,510,1350,NA
"1088",7408,NA,NA,NA,260,12,0,NA,NA,15,400,1310,NA
"1089",7409,NA,NA,NA,430,66,0,175,7.5,17,260,1210,NA
"1090",7413,NA,NA,NA,NA,140,NA,40,7.6,13,NA,2150,NA
"1091",7414,NA,NA,NA,NA,41,NA,3,7.75,11,NA,1540,NA
"1092",7415,NA,NA,NA,NA,57,NA,11,7.55,14,NA,1330,NA
"1093",7420,NA,NA,50,140,92,5,10,7.7,NA,200,710,NA
"1094",7423,NA,NA,NA,250,71,0,10,7.6,14,330,1030,NA
"1095",7425,NA,NA,80,710,180,53,10,8.3,NA,490,2190,NA
"1096",7426,NA,NA,500,250,20,14,220,8.5,NA,NA,540,NA
"1097",7427,NA,NA,50,670,24,53,70,8.5,NA,380,2080,NA
"1098",7428,NA,NA,NA,280,57,NA,220,8,NA,95,670,NA
"1099",7430,282,1,160,344,49,0,680,7.8,15,290,1070,NA
"1100",7431,NA,NA,NA,280,NA,5,NA,8.4,NA,NA,789,NA
"1101",7432,NA,NA,NA,120,36,0,NA,NA,NA,NA,NA,NA
"1102",7433,NA,NA,600,510,7,35,20,8.7,NA,NA,1310,NA
"1103",7434,NA,NA,NA,260,72,0,NA,NA,NA,NA,480,NA
"1104",7436,NA,NA,NA,194,NA,0,NA,NA,NA,NA,NA,NA
"1105",7448,NA,NA,NA,360,33,0,NA,8.1,42,330,1510,NA
"1106",7449,NA,NA,NA,345,7.5,0,NA,7.5,12,110,1172.5,NA
"1107",7452,NA,NA,NA,230,18,6,NA,NA,9.7,54,579,NA
"1108",7455,NA,NA,NA,450,81,0,NA,NA,10,260,1855,NA
"1109",7457,NA,NA,590,254.5,16,8,80,7.8,NA,814.5,3310,NA
"1110",7459,NA,NA,NA,259,508,0,NA,NA,NA,3050,4580,NA
"1111",7460,NA,NA,NA,270,86,0,NA,NA,NA,198,1050,NA
"1112",7461,NA,NA,NA,300,25,0,NA,NA,NA,63,680,NA
"1113",7462,NA,NA,NA,144,474,0,NA,NA,NA,1710,2870,NA
"1114",7463,NA,NA,NA,552,19,8,NA,NA,NA,189,1310,NA
"1115",7464,NA,NA,NA,488,12,33,NA,NA,NA,349,1610,NA
"1116",7465,NA,NA,NA,266,54,0,NA,NA,NA,114,648,NA
"1117",7466,NA,NA,NA,596,NA,18,NA,NA,NA,NA,1220,NA
"1118",7467,NA,NA,NA,626,NA,0,NA,NA,NA,NA,1160,NA
"1119",7468,NA,NA,NA,284,66,0,NA,NA,NA,24,492,NA
"1120",7469,NA,NA,NA,278,NA,0,NA,NA,NA,NA,652,NA
"1121",7470,NA,NA,NA,253,23,0,NA,NA,NA,117,669,NA
"1122",7471,NA,NA,NA,508,NA,0,NA,NA,NA,NA,1020,NA
"1123",7472,NA,NA,NA,98,28,0,NA,NA,NA,16,206,NA
"1124",7473,NA,NA,NA,196,46,0,NA,NA,NA,226,1040,NA
"1125",7474,NA,NA,NA,127,119,0,NA,NA,NA,431,1190,NA
"1126",7475,NA,NA,NA,159,545,0,NA,NA,NA,2200,3360,NA
"1127",7476,NA,NA,NA,186,36,0,NA,NA,NA,50,461,NA
"1128",7477,NA,NA,NA,134,60,0,NA,NA,NA,81,432,NA
"1129",7478,NA,NA,NA,356,67,0,NA,NA,NA,250,1340,NA
"1130",7479,NA,NA,NA,248,85,0,NA,NA,NA,183,736,NA
"1131",7480,NA,NA,NA,214,43,0,NA,NA,NA,37,468,NA
"1132",7481,NA,NA,NA,196,42,0,NA,NA,NA,98,759,NA
"1133",7482,NA,NA,NA,291,167,0,NA,NA,NA,355,1130,NA
"1134",7483,NA,NA,NA,470,8,10,NA,NA,NA,20,808,NA
"1135",7484,NA,NA,NA,208,25,10,NA,NA,NA,184,781,NA
"1136",7485,NA,NA,NA,332,NA,0,NA,NA,NA,NA,766,NA
"1137",7486,NA,NA,NA,138,40,0,NA,NA,NA,28,294,NA
"1138",7487,NA,NA,NA,130,49,0,NA,NA,NA,39,362,NA
"1139",7488,NA,NA,NA,244,36,0,NA,NA,NA,82,588,NA
"1140",7489,NA,NA,NA,590,96,0,NA,NA,NA,494,1850,NA
"1141",7490,NA,NA,NA,173,NA,0,NA,NA,NA,NA,379,NA
"1142",7491,NA,NA,NA,186,47,0,NA,NA,NA,60,434,NA
"1143",7492,NA,NA,NA,220,NA,0,NA,NA,NA,NA,512,NA
"1144",7493,NA,NA,NA,256,98,0,NA,NA,NA,243,996,NA
"1145",7494,NA,NA,NA,322,81,27,NA,NA,NA,68,731,NA
"1146",7495,NA,NA,NA,260,92,13,NA,NA,NA,313,1510,NA
"1147",7496,NA,NA,NA,187,34,0,NA,NA,NA,93,609,NA
"1148",7497,NA,NA,NA,281,NA,0,NA,NA,NA,NA,1080,NA
"1149",7498,NA,NA,NA,286,429,0,NA,NA,NA,5140,7870,NA
"1150",7499,NA,NA,NA,300,79,0,NA,NA,NA,39,633,NA
"1151",7500,NA,NA,NA,300,62,0,NA,NA,NA,54,594,NA
"1152",7501,NA,NA,NA,205,NA,0,NA,NA,NA,NA,387,NA
"1153",7502,NA,NA,NA,328,12,0,NA,NA,NA,87,682,NA
"1154",7503,NA,NA,NA,292,79,0,NA,NA,NA,80,626,NA
"1155",7504,NA,NA,NA,420,6,33,NA,NA,NA,864,2610,NA
"1156",7505,NA,NA,NA,364,83,0,NA,NA,NA,23,675,NA
"1157",7506,NA,NA,NA,633,6,0,NA,NA,NA,88,1280,NA
"1158",7507,NA,NA,NA,330,25,0,NA,NA,NA,56.5,639.5,NA
"1159",7508,NA,NA,NA,186,44,0,NA,NA,NA,4,292,NA
"1160",7509,NA,NA,NA,157,41,0,NA,NA,NA,4,257,NA
"1161",7510,NA,NA,NA,468,34,0,NA,NA,NA,98,919,NA
"1162",7511,NA,NA,NA,140,NA,0,NA,NA,NA,NA,236,NA
"1163",7512,NA,NA,NA,469,65,0,NA,NA,NA,87,937,NA
"1164",7513,NA,NA,NA,1000,18,49,NA,NA,NA,278,2210,NA
"1165",7514,NA,NA,NA,590,71,0,NA,NA,NA,37,1080,NA
"1166",7515,NA,NA,NA,352,34,0,NA,NA,NA,173,1220,NA
"1167",7516,NA,NA,NA,306,29,0,NA,NA,NA,108,745,NA
"1168",7517,NA,NA,NA,360,26,0,NA,NA,NA,38,685,NA
"1169",7518,NA,NA,NA,434,304,0,NA,NA,NA,4110,6950,NA
"1170",7519,NA,NA,NA,342,NA,0,NA,NA,NA,NA,1880,NA
"1171",7520,NA,NA,NA,348,11,0,NA,NA,NA,635,NA,NA
"1172",7521,NA,NA,NA,348,139,0,NA,NA,NA,10,1010,NA
"1173",7522,NA,NA,NA,512,6,0,NA,NA,NA,127,1320,NA
"1174",7523,NA,NA,NA,319,60,0,NA,NA,NA,262,1040,NA
"1175",7524,NA,NA,NA,740,10,0,NA,NA,NA,127,1390,NA
"1176",7525,NA,NA,NA,372,106,0,NA,NA,NA,92,731,NA
"1177",7526,NA,NA,NA,312,19,20,NA,NA,NA,541,1870,NA
"1178",7527,NA,NA,NA,293,42,0,NA,NA,NA,32,541,NA
"1179",7528,NA,NA,NA,267,NA,0,NA,NA,NA,NA,460,NA
"1180",7529,NA,NA,NA,302,96,0,NA,NA,NA,91,731,NA
"1181",7530,NA,NA,NA,141,38,0,NA,NA,NA,5,246,NA
"1182",7531,NA,NA,NA,288,190,0,NA,NA,NA,537,1370,NA
"1183",7532,NA,NA,NA,272,8,34,NA,NA,NA,239,1100,NA
"1184",7533,NA,NA,NA,236,NA,0,NA,NA,NA,NA,1920,NA
"1185",7534,NA,NA,NA,255,NA,0,NA,NA,NA,NA,403,NA
"1186",7535,NA,NA,NA,319,90,0,NA,NA,NA,7,491,NA
"1187",7536,NA,NA,NA,270,68,16,NA,NA,NA,9,481,NA
"1188",7537,NA,NA,NA,290,532,0,NA,NA,NA,3440,6150,NA
"1189",7538,NA,NA,NA,312,43,21,NA,NA,NA,261,1070,NA
"1190",7539,NA,NA,NA,210,2,218,NA,NA,NA,1120,4150,NA
"1191",7540,NA,NA,NA,258,NA,0,NA,NA,NA,NA,1980,NA
"1192",7541,NA,NA,NA,380,146,0,NA,NA,NA,244,1100,NA
"1193",7542,NA,NA,NA,192,81,0,NA,NA,NA,211,723,NA
"1194",7543,NA,NA,NA,371,NA,10,NA,NA,NA,NA,2160,NA
"1195",7544,NA,NA,NA,355,NA,18,NA,NA,NA,NA,707,NA
"1196",7545,NA,NA,NA,329,225,0,NA,NA,NA,1050,2330,NA
"1197",7546,NA,NA,NA,1480,13,0,NA,NA,NA,1610,5370,NA
"1198",7547,NA,NA,NA,180,111,0,NA,NA,NA,496,1350,NA
"1199",7548,NA,NA,NA,346,183,0,NA,NA,NA,497,1400,NA
"1200",7549,NA,NA,NA,615,NA,0,NA,NA,NA,123,1190,NA
"1201",7550,NA,NA,NA,102,23,0,NA,NA,NA,6,171,NA
"1202",7551,NA,NA,NA,531,91,0,NA,NA,NA,21,885,NA
"1203",7552,NA,NA,NA,205,218,0,NA,NA,NA,540,1270,NA
"1204",7553,NA,NA,NA,48,NA,0,NA,NA,NA,NA,102,NA
"1205",7554,NA,NA,NA,1140,6,14,NA,NA,NA,363,2550,NA
"1206",7555,NA,NA,NA,392,23,0,NA,NA,NA,55,710,NA
"1207",7556,NA,NA,NA,309,5,0,NA,NA,NA,558,1820,NA
"1208",7557,NA,NA,NA,314,6,0,NA,NA,NA,351,1350,NA
"1209",7558,NA,NA,NA,296,4,0,NA,NA,NA,254,1080,NA
"1210",7559,NA,NA,NA,326,6,0,NA,NA,NA,372,1450,NA
"1211",7560,NA,NA,NA,407,48,0,NA,NA,NA,502,1670,NA
"1212",7561,NA,NA,NA,255,153,0,NA,NA,NA,662,1640,NA
"1213",7562,NA,NA,NA,108,NA,0,NA,NA,NA,NA,1320,NA
"1214",7563,NA,NA,NA,310,138,0,NA,NA,NA,270,940,NA
"1215",7564,NA,NA,NA,85,75,0,NA,NA,NA,204,570,NA
"1216",7565,NA,NA,NA,257,62,0,NA,NA,NA,29,461,NA
"1217",7566,NA,NA,NA,246,239,0,NA,NA,NA,1260,2510,NA
