"","i","Train_Error","Train_SD","Test_Error","Test_SD"
"29",29,0.916237113402062,0.0037845812256671,0.758858858858859,0.00311357978278195
"30",30,0.915721649484536,0.00267222182388243,0.756456456456456,0.00491153970984871
"31",31,0.916752577319588,0.00345182866906673,0.755855855855856,0.00227713977298839
"32",32,0.915979381443299,0.00196494209819289,0.761261261261261,0.00150150150150152
"33",33,0.916365979381443,0.00285983776046032,0.758558558558558,0.00545522586323873
"34",34,0.91430412371134,0.00182244015769728,0.754654654654655,0.00361609446810577
"35",35,0.914690721649485,0.00191139136265351,0.76036036036036,0.00201447565540524
"36",36,0.915721649484536,0.00271078401649002,0.758858858858859,0.00567797909945617
"37",37,0.916237113402062,0.00193298969072164,0.75975975975976,0.00150150150150152
"38",38,0.915592783505155,0.0015110875514895,0.755855855855856,0.00547585060925241
"39",39,0.917139175257732,0.00330435087756653,0.762162162162162,0.003289624970001
"40",40,0.914561855670103,0.00243655546407074,0.76036036036036,0.00251249257217444
"41",41,0.915592783505155,0.000789139736721382,0.760960960960961,0.00307716239218006
"42",42,0.914819587628866,0.00238489117568578,0.755855855855856,0.00419346547860928
"43",43,0.916237113402062,0.0017645700950553,0.758858858858859,0.00493443745500148
"44",44,0.915721649484536,0.00123939330294274,0.757957957957958,0.00246721872750075
"45",45,0.916365979381443,0.0027863077719639,0.763063063063063,0.00246721872750074
"46",46,0.914948453608247,0.00269542534321544,0.757957957957958,0.00535090981417585
"47",47,0.91610824742268,0.00320226124736833,0.759159159159159,0.00171197511276149
"48",48,0.916881443298969,0.00241086171828217,0.757957957957958,0.00288819580505577
"49",49,0.919587628865979,0.00220394734233085,0.759159159159159,0.00292696526871141
"50",50,0.914561855670103,0.00133611091194121,0.756156156156156,0.0041934654786093
"51",51,0.915721649484536,0.00251206039814663,0.757357357357357,0.00134298377027012
"52",52,0.916623711340206,0.00275634660260408,0.756156156156156,0.00526596934436944
"53",53,0.916494845360825,0.00256116068483919,0.760660660660661,0.00376873885826162
"54",54,0.91701030927835,0.0027863077719639,0.763063063063063,0.00455427954597692
"55",55,0.916237113402062,0.00120543085914109,0.757357357357357,0.00272761293161934
"56",56,0.918041237113402,0.00195434934125043,0.758558558558559,0.00358478570159561
"57",57,0.916365979381443,0.00247039813307746,0.757057057057057,0.00479541123803944
"58",58,0.914819587628866,0.00354088444949331,0.757657657657658,0.00537193508108054
"59",59,0.915592783505155,0.00315655894688553,0.758558558558559,0.00358478570159555
"60",60,0.91610824742268,0.00132048334612881,0.758258258258258,0.00300300300300302
