"SampleID","OrganizationIdentifier","ActivityIdentifier","ActivityTypeCode","ActivityMediaName","ActivityMediaSubdivisionName","ActivityStartDate","ProjectIdentifier","ActivityConductingOrganizationText","MonitoringLocationIdentifier","ActivityCommentText","HydrologicCondition","HydrologicEvent","SampleCollectionMethodMethodIdentifier","SampleCollectionMethodIdentifierContext","SampleCollectionMethodName","SampleCollectionEquipmentName","ResultDetectionConditionText","CharacteristicName","ResultSampleFractionText","ResultMeasureValue","ResultMeasureMeasureUnitCode","ProviderName","SiteID","OrganizationIdentifier.2","OrganizationFormalName","MonitoringLocationIdentifier.2","MonitoringLocationName","MonitoringLocationTypeName","MonitoringLocationDescriptionText","LatitudeMeasure","LongitudeMeasure","HorizontalCollectionMethodName","HorizontalCoordinateReferenceSystemDatumName","Elevation","ElevationUnitCode","ElevationCollectionMethodName","CountryCode","StateCode","CountyCode","Built","WellDepthMeasureValue","WellDepthMeasureUnitCode","WellHoleDepthMeasureValue","WellHoleDepthMeasureUnitCode","ProviderName.2"
3605825,"BPMWQX","BPMWQX-539803","Sample-Routine","Water","Groundwater","2021-10-01 00:00:00","2901","NULL","BPMWQX-5400-EK-MW09","Scribe Sample No: EK-MW09-GW-N-100121","NULL","NULL","NULL","NULL","NULL","Miscellaneous (Other)","NULL","As","Dissolved",0.14,"µg/L","STORET",251862,"BPMWQX","Bonita Peak Mining","BPMWQX-5400-EK-MW09","EK-MW09","CERCLA Superfund Site","NULL",37.86885,-107.56591,"Unknown","WGS84","NULL","NULL","NULL","US",8,111,"NULL","NULL","NULL","NULL","NULL","STORET"
3605835,"BPMWQX","BPMWQX-516263","Sample-Routine","Water","Groundwater","2021-09-30 00:00:00","2901","NULL","BPMWQX-5418-HW-MW10","Scribe Sample No: HW-MW10-GW-N-093021","NULL","NULL","NULL","NULL","NULL","Miscellaneous (Other)","NULL","As","Dissolved",37,"µg/L","STORET",251879,"BPMWQX","Bonita Peak Mining","BPMWQX-5418-HW-MW10","HW-MW10","CERCLA Superfund Site","NULL",37.83829,-107.59323,"Unknown","WGS84","NULL","NULL","NULL","US",8,111,"NULL","NULL","NULL","NULL","NULL","STORET"
3605839,"BPMWQX","BPMWQX-516362","Sample-Routine","Water","Groundwater","2021-09-30 00:00:00","2901","NULL","BPMWQX-5393-EK-MW02","Scribe Sample No: EK-MW02-GW-N-093021","NULL","NULL","NULL","NULL","NULL","Miscellaneous (Other)","Not Detected","As","Dissolved",0,"µg/L","STORET",251854,"BPMWQX","Bonita Peak Mining","BPMWQX-5393-EK-MW02","EK-MW02","CERCLA Superfund Site","NULL",37.8672,-107.57062,"Unknown","WGS84","NULL","NULL","NULL","US",8,111,"NULL","NULL","NULL","NULL","NULL","STORET"
3605901,"BPMWQX","BPMWQX-510909","Sample-Routine","Water","Groundwater","2021-09-13 00:00:00","2901","NULL","BPMWQX-5403-EK-TP02","Scribe Sample No: EK-TP02-GW-N-091321","NULL","NULL","NULL","NULL","NULL","Miscellaneous (Other)","NULL","As","Dissolved",1.8,"µg/L","STORET",251865,"BPMWQX","Bonita Peak Mining","BPMWQX-5403-EK-TP02","EK-TP02","CERCLA Superfund Site","NULL",37.86695899,-107.56906319,"Unknown","WGS84","NULL","NULL","NULL","US",8,111,"NULL","NULL","NULL","NULL","NULL","STORET"
3605959,"BPMWQX","BPMWQX-520924","Sample-Routine","Water","Groundwater","2021-09-27 00:00:00","2901","NULL","BPMWQX-5225-KMMW6","Scribe Sample No: KM-MW06-GW-N-092721","NULL","NULL","NULL","NULL","NULL","Miscellaneous (Other)","Not Detected","As","Dissolved",0,"µg/L","STORET",251791,"BPMWQX","Bonita Peak Mining","BPMWQX-5225-KMMW6","KMMW6","CERCLA Superfund Site","Kittimac 6",37.857993,-107.571916,"Unknown","WGS84","NULL","NULL","NULL","US",8,111,"NULL","NULL","NULL","NULL","NULL","STORET"
3605961,"BPMWQX","BPMWQX-520674","Sample-Routine","Water","Groundwater","2021-09-25 00:00:00","2901","NULL","BPMWQX-5420-HW-MW12","Scribe Sample No: HW-MW12-GW-N-092521","NULL","NULL","NULL","NULL","NULL","Miscellaneous (Other)","NULL","As","Dissolved",0.98,"µg/L","STORET",251881,"BPMWQX","Bonita Peak Mining","BPMWQX-5420-HW-MW12","HW-MW12","CERCLA Superfund Site","NULL",37.81280622,-107.6630234,"Unknown","WGS84","NULL","NULL","NULL","US",8,111,"NULL","NULL","NULL","NULL","NULL","STORET"
3603069,"BPMWQX","BPMWQX-155128","Sample-Routine","Water","Groundwater","2016-10-19 00:00:00","2901","NULL","BPMWQX-1375-KMMW2","Scribe Sample No: A8M5-2554","NULL","NULL","NULL","NULL","NULL","Miscellaneous (Other)","Not Detected","As","Dissolved",0,"µg/L","STORET",250270,"BPMWQX","Bonita Peak Mining","BPMWQX-1375-KMMW2","KMMW2","CERCLA Superfund Site","NULL",37.858190638,-107.573265157,"Unknown","WGS84","NULL","NULL","NULL","US",8,111,"NULL","NULL","NULL","NULL","NULL","STORET"
3603126,"BPMWQX","BPMWQX-155038","Sample-Routine","Water","Groundwater","2016-10-19 00:00:00","2901","NULL","BPMWQX-1374-KMMW1","Scribe Sample No: A8M5-2552","NULL","NULL","NULL","NULL","NULL","Miscellaneous (Other)","Not Detected","As","Dissolved",0,"µg/L","STORET",250269,"BPMWQX","Bonita Peak Mining","BPMWQX-1374-KMMW1","KMMW1","CERCLA Superfund Site","NULL",37.858093805,-107.572115363,"Unknown","WGS84","NULL","NULL","NULL","US",8,111,"NULL","NULL","NULL","NULL","NULL","STORET"
3603172,"BPMWQX","BPMWQX-155212","Sample-Routine","Water","Groundwater","2016-10-19 00:00:00","2901","NULL","BPMWQX-1377-KMMW4","Scribe Sample No: A8M5-2556","NULL","NULL","NULL","NULL","NULL","Miscellaneous (Other)","Not Detected","As","Dissolved",0,"µg/L","STORET",250272,"BPMWQX","Bonita Peak Mining","BPMWQX-1377-KMMW4","KMMW4","CERCLA Superfund Site","NULL",37.858533211,-107.571693196,"Unknown","WGS84","NULL","NULL","NULL","US",8,111,"NULL","NULL","NULL","NULL","NULL","STORET"
3603218,"BPMWQX","BPMWQX-106976","Sample-Routine","Water","Groundwater","2016-05-11 00:00:00","2901","NULL","BPMWQX-305-MTMW-6A","Scribe Sample No: A8M5-0203","NULL","NULL","NULL","NULL","NULL","Miscellaneous (Other)","Not Detected","As","Dissolved",0,"µg/L","STORET",251013,"BPMWQX","Bonita Peak Mining","BPMWQX-305-MTMW-6A","MTMW-6A","CERCLA Superfund Site","NULL",37.821111,-107.644409,"Unknown","WGS84","NULL","NULL","NULL","US",8,111,"NULL","NULL","NULL","NULL","NULL","STORET"
3603241,"BPMWQX","BPMWQX-106924","Sample-Routine","Water","Groundwater","2016-05-12 00:00:00","2901","NULL","BPMWQX-304-MTMW-5","Scribe Sample No: A8M5-0200","NULL","NULL","NULL","NULL","NULL","Miscellaneous (Other)","Not Detected","As","Dissolved",0,"µg/L","STORET",251012,"BPMWQX","Bonita Peak Mining","BPMWQX-304-MTMW-5","MTMW-5","CERCLA Superfund Site","NULL",37.82055,-107.644867,"Unknown","WGS84","NULL","NULL","NULL","US",8,111,"NULL","NULL","NULL","NULL","NULL","STORET"
3603318,"BPMWQX","BPMWQX-106872","Sample-Routine","Water","Groundwater","2016-05-11 00:00:00","2901","NULL","BPMWQX-303-MTMW-12","Scribe Sample No: A8M5-0197","NULL","NULL","NULL","NULL","NULL","Miscellaneous (Other)","Not Detected","As","Dissolved",0,"µg/L","STORET",251006,"BPMWQX","Bonita Peak Mining","BPMWQX-303-MTMW-12","MTMW-12","CERCLA Superfund Site","NULL",37.827877,-107.634115,"Unknown","WGS84","NULL","NULL","NULL","US",8,111,"NULL","NULL","NULL","NULL","NULL","STORET"
3603362,"BPMWQX","BPMWQX-155173","Sample-Routine","Water","Groundwater","2016-10-19 00:00:00","2901","NULL","BPMWQX-1376-KMMW3","Scribe Sample No: A8M5-2555","NULL","NULL","NULL","NULL","NULL","Miscellaneous (Other)","Not Detected","As","Dissolved",0,"µg/L","STORET",250271,"BPMWQX","Bonita Peak Mining","BPMWQX-1376-KMMW3","KMMW3","CERCLA Superfund Site","NULL",37.858742371,-107.572868394,"Unknown","WGS84","NULL","NULL","NULL","US",8,111,"NULL","NULL","NULL","NULL","NULL","STORET"
3603424,"BPMWQX","BPMWQX-179305","Sample-Routine","Water","Groundwater","2017-06-06 00:00:00","2901","NULL","BPMWQX-2934-SF Camp","Scribe Sample No: A8M5-4034","NULL","NULL","NULL","NULL","NULL","Miscellaneous (Other)","NULL","As","Dissolved",0.705,"µg/L","STORET",250957,"BPMWQX","Bonita Peak Mining","BPMWQX-2934-SF Camp","SF Camp","CERCLA Superfund Site","NULL",37.805985,-107.773911,"Unknown","WGS84","NULL","NULL","NULL","US",8,111,"NULL","NULL","NULL","NULL","NULL","STORET"
3603458,"BPMWQX","BPMWQX-172778","Sample-Routine","Water","Groundwater","2017-05-17 00:00:00","2901","NULL","BPMWQX-1375-KMMW2","Scribe Sample No: A8M5-3638","NULL","NULL","NULL","NULL","NULL","Miscellaneous (Other)","Not Detected","As","Dissolved",0,"µg/L","STORET",250270,"BPMWQX","Bonita Peak Mining","BPMWQX-1375-KMMW2","KMMW2","CERCLA Superfund Site","NULL",37.858190638,-107.573265157,"Unknown","WGS84","NULL","NULL","NULL","US",8,111,"NULL","NULL","NULL","NULL","NULL","STORET"
3603481,"BPMWQX","BPMWQX-172904","Sample-Routine","Water","Groundwater","2017-05-17 00:00:00","2901","NULL","BPMWQX-1374-KMMW1","Scribe Sample No: A8M5-3642","NULL","NULL","NULL","NULL","NULL","Miscellaneous (Other)","Not Detected","As","Dissolved",0,"µg/L","STORET",250269,"BPMWQX","Bonita Peak Mining","BPMWQX-1374-KMMW1","KMMW1","CERCLA Superfund Site","NULL",37.858093805,-107.572115363,"Unknown","WGS84","NULL","NULL","NULL","US",8,111,"NULL","NULL","NULL","NULL","NULL","STORET"
3603494,"BPMWQX","BPMWQX-172916","Sample-Routine","Water","Groundwater","2017-05-17 00:00:00","2901","NULL","BPMWQX-1375-KMMW2","Scribe Sample No: A8M5-3643","NULL","NULL","NULL","NULL","NULL","Miscellaneous (Other)","Not Detected","As","Dissolved",0,"µg/L","STORET",250270,"BPMWQX","Bonita Peak Mining","BPMWQX-1375-KMMW2","KMMW2","CERCLA Superfund Site","NULL",37.858190638,-107.573265157,"Unknown","WGS84","NULL","NULL","NULL","US",8,111,"NULL","NULL","NULL","NULL","NULL","STORET"
3603527,"BPMWQX","BPMWQX-173042","Sample-Routine","Water","Groundwater","2017-05-17 00:00:00","2901","NULL","BPMWQX-1377-KMMW4","Scribe Sample No: A8M5-3645","NULL","NULL","NULL","NULL","NULL","Miscellaneous (Other)","Not Detected","As","Dissolved",0,"µg/L","STORET",250272,"BPMWQX","Bonita Peak Mining","BPMWQX-1377-KMMW4","KMMW4","CERCLA Superfund Site","NULL",37.858533211,-107.571693196,"Unknown","WGS84","NULL","NULL","NULL","US",8,111,"NULL","NULL","NULL","NULL","NULL","STORET"
3606142,"BPMWQX","BPMWQX-520651","Sample-Routine","Water","Groundwater","2021-09-28 00:00:00","2901","NULL","BPMWQX-5507-EK-MW01","Scribe Sample No: EK-MW01-GW-N-092821","NULL","NULL","NULL","NULL","NULL","Miscellaneous (Other)","Not Detected","As","Dissolved",0,"µg/L","STORET",251907,"BPMWQX","Bonita Peak Mining","BPMWQX-5507-EK-MW01","EK-MW01","CERCLA Superfund Site","NULL",37.86496,-107.56957,"Unknown","WGS84","NULL","NULL","NULL","US",8,111,"NULL","NULL","NULL","NULL","NULL","STORET"
3603654,"BPMWQX","BPMWQX-172994","Sample-Routine","Water","Groundwater","2017-05-17 00:00:00","2901","NULL","BPMWQX-1376-KMMW3","Scribe Sample No: A8M5-3644","NULL","NULL","NULL","NULL","NULL","Miscellaneous (Other)","Not Detected","As","Dissolved",0,"µg/L","STORET",250271,"BPMWQX","Bonita Peak Mining","BPMWQX-1376-KMMW3","KMMW3","CERCLA Superfund Site","NULL",37.858742371,-107.572868394,"Unknown","WGS84","NULL","NULL","NULL","US",8,111,"NULL","NULL","NULL","NULL","NULL","STORET"
3603702,"BPMWQX","BPMWQX-515964","Sample-Routine","Water","Groundwater","2021-09-30 00:00:00","2901","NULL","BPMWQX-5516-HW-MW15B","Scribe Sample No: HW-MW15B-GW-N-093021","NULL","NULL","NULL","NULL","NULL","Miscellaneous (Other)","NULL","As","Dissolved",0.42,"µg/L","STORET",251916,"BPMWQX","Bonita Peak Mining","BPMWQX-5516-HW-MW15B","HW-MW15B","CERCLA Superfund Site","NULL",37.83843,-107.59252,"Unknown","WGS84","NULL","NULL","NULL","US",8,111,"NULL","NULL","NULL","NULL","NULL","STORET"
3603762,"BPMWQX","BPMWQX-516148","Sample-Routine","Water","Groundwater","2021-10-01 00:00:00","2901","NULL","BPMWQX-5399-EK-MW08","Scribe Sample No: EK-MW08-GW-N-100121","NULL","NULL","NULL","NULL","NULL","Miscellaneous (Other)","NULL","As","Dissolved",0.09,"µg/L","STORET",251860,"BPMWQX","Bonita Peak Mining","BPMWQX-5399-EK-MW08","EK-MW08","CERCLA Superfund Site","NULL",37.86917,-107.56703,"Unknown","WGS84","NULL","NULL","NULL","US",8,111,"NULL","NULL","NULL","NULL","NULL","STORET"
3603787,"BPMWQX","BPMWQX-510852","Sample-Routine","Water","Groundwater","2021-09-14 00:00:00","2901","NULL","BPMWQX-5405-EK-TP04","Scribe Sample No: EK-TP04-GW-N-091421","NULL","NULL","NULL","NULL","NULL","Miscellaneous (Other)","NULL","As","Dissolved",0.26,"µg/L","STORET",251867,"BPMWQX","Bonita Peak Mining","BPMWQX-5405-EK-TP04","EK-TP04","CERCLA Superfund Site","NULL",37.8682916,-107.56901174,"Unknown","WGS84","NULL","NULL","NULL","US",8,111,"NULL","NULL","NULL","NULL","NULL","STORET"
