+ Fold01: shrinkage=0.004, interaction.depth= 2, n.minobsinnode=8, n.trees=500 
Iter   TrainDeviance   ValidDeviance   StepSize   Improve
   140        0.5629            -nan     0.0060    0.0011
   160        0.5340            -nan     0.0060    0.0009
   180        0.5091            -nan     0.0060    0.0004
   200        0.4871            -nan     0.0060    0.0006
   220        0.4676            -nan     0.0060   -0.0003
   240        0.4503            -nan     0.0060    0.0002
   260        0.4344            -nan     0.0060   -0.0007
   280        0.4208            -nan     0.0060   -0.0005
   300        0.4077            -nan     0.0060    0.0000
   320        0.3949            -nan     0.0060   -0.0005
   340        0.3836            -nan     0.0060   -0.0008
   360        0.3733            -nan     0.0060   -0.0005
   380        0.3635            -nan     0.0060   -0.0005
   400        0.3539            -nan     0.0060   -0.0003
   420        0.3444            -nan     0.0060   -0.0003
   440        0.3354            -nan     0.0060   -0.0004
   460        0.3271            -nan     0.0060   -0.0006
   480        0.3193            -nan     0.0060   -0.0008
   500        0.3116            -nan     0.0060   -0.0005

- Fold01: shrinkage=0.006, interaction.depth= 6, n.minobsinnode=8, n.trees=500 
+ Fold01: shrinkage=0.006, interaction.depth= 8, n.minobsinnode=8, n.trees=500 
Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        1.0986            -nan     0.0060    0.0142
     2        1.0896            -nan     0.0060    0.0147
     3        1.0799            -nan     0.0060    0.0138
     4        1.0712            -nan     0.0060    0.0150
     5        1.0616            -nan     0.0060    0.0133
     6        1.0528            -nan     0.0060    0.0125
     7        1.0444            -nan     0.0060    0.0138
     8        1.0359            -nan     0.0060    0.0131
     9        1.0271            -nan     0.0060    0.0124
    10        1.0188            -nan     0.0060    0.0116
    20        0.9444            -nan     0.0060    0.0094
    40        0.8251            -nan     0.0060    0.0070
    60        0.7350            -nan     0.0060    0.0049
    80        0.6655            -nan     0.0060    0.0037
   100        0.6106            -nan     0.0060    0.0022
   120        0.5660            -nan     0.0060    0.0015
   140        0.5288            -nan     0.0060    0.0010
   160        0.4976            -nan     0.0060    0.0007
   180        0.4703            -nan     0.0060    0.0004
   200        0.4464            -nan     0.0060   -0.0002
   220        0.4248            -nan     0.0060    0.0001
   240        0.4059            -nan     0.0060   -0.0004
   260        0.3896            -nan     0.0060   -0.0001
   280        0.3742            -nan     0.0060   -0.0006
   300        0.3599            -nan     0.0060   -0.0004
   320        0.3470            -nan     0.0060   -0.0004
   340        0.3347            -nan     0.0060   -0.0004
   360        0.3229            -nan     0.0060   -0.0004
   380        0.3118            -nan     0.0060   -0.0005
   400        0.3017            -nan     0.0060   -0.0005
   420        0.2922            -nan     0.0060   -0.0007
   440        0.2831            -nan     0.0060   -0.0007
   460        0.2742            -nan     0.0060   -0.0004
   480        0.2658            -nan     0.0060   -0.0005
   500        0.2577            -nan     0.0060   -0.0008

- Fold01: shrinkage=0.006, interaction.depth= 8, n.minobsinnode=8, n.trees=500 
+ Fold01: shrinkage=0.006, interaction.depth=10, n.minobsinnode=8, n.trees=500 
Iter   TrainDeviance   ValidDeviance   StepSize   Improve
     1        1.0986            -nan     0.0060    0.0143
     2        1.0888            -nan     0.0060    0.0138
     3        1.0793            -nan     0.0060    0.0135
     4        1.0700            -nan     0.0060    0.0141
     5        1.0609            -nan     0.0060    0.0130
     6        1.0522            -nan     0.0060    0.0141
     7        1.0433            -nan     0.0060    0.0129
     8        1.0344            -nan     0.0060    0.0131
     9        1.0258            -nan     0.0060    0.0132
    10        1.0169            -nan     0.0060    0.0127
    20        0.9386            -nan     0.0060    0.0101
    40        0.8134            -nan     0.0060    0.0067
    60        0.7198            -nan     0.0060    0.0043
    80        0.6461            -nan     0.0060    0.0031
   100        0.5877            -nan     0.0060    0.0022
   120        0.5417            -nan     0.0060    0.0017
   140        0.5017            -nan     0.0060    0.0007
   160        0.4684            -nan     0.0060    0.0006
   180        0.4393            -nan     0.0060    0.0001
   200        0.4142            -nan     0.0060    0.0003
   220        0.3926            -nan     0.0060   -0.0003
   240        0.3726            -nan     0.0060   -0.0004
