as_5,QTal,QTe,glac,QTl,QTp,resid,gran_br,sed_br,maf_br,nTv,pgTv,Qs,sed_thick,bed_hz_dist,bed_dpt_dist,basin_vol,qflt_hz_dist,qflt_dpt_dist,qflt_dens,qflt_sum,actflt_hz_dist,actflt_dpt_dist,actflt_dens,actflt_sum,playa_dist,playa_bin,geoth_prb,spg_dist,spg_cnt,vent_dist,vent_cnt,hotwell_dist,hotwell_cnt,plant_dist,plant_cnt,econ_dist,econ_cnt,ext_dist,ext_cnt,brd,crb,cr,gslb,hrb,trb,wrb,wcr,wr,closed_basin,precip,recharge,pet,eta,aridity,bflow_index,well_depth,LP1,DSD1,LP2,DSD2,LP3,DSD3,LP4,DSD4,DSD5,LP5,DSD6,LP6,LP7,DSD7,LP8,DSD8,LP9,DSD9,barren,cropland,dev_h,dev_l,dev_m,dev_o,herb_wet,forest,pasture,herb,shrub,wood_wet,cbr,nbr,sierra
0,1,0,0,0,0,0,0,1,0,0,0,0,233.4029999,4695.439,233.1151719,90742603776,1673.188138,1449.023433,0.542025983,969472,8169.830271,7075.280559,0.064818896,115936,0,1,0.00314,7676.530438,6,34522.73059,0,11331.68193,2,49994.30772,0,52624.85927,0,55002.87589,0,0,1,0,0,0,0,0,0,0,0,248.5399933,18,4254.220215,484,0.0584221,68,450,10000,254,3570,2732,3570,2732,1512,6452,39062,249,79630,6360,9843,159602,5334,403154,5329,403583,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
0,0,0,0,1,0,0,1,0,0,0,0,0,18.41930008,1141.871,18.41690417,3494180096,739.9078976,640.7790358,0.381036013,403908,3377.323736,2924.848152,0.163531005,173347,16361.37,0,0.00027,9171.780055,1,42522.62877,0,28240.29393,0,53717.93096,0,56872.94559,0,77288.63122,0,0,0,0,0,0,1,0,0,0,0,718.6500244,479,4150.660156,613,0.173965007,69,22,5667,1177,5972,1117,5972,1117,569,11197,35815,5515,82700,9321,8468,158126,4808,405036,4808,405047,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,0,0,0,1,0,0,1,0,0,0,0,0,18.41930008,1175.642,18.41703982,3494180096,726.7371774,629.3728575,0.381036013,403908,3408.981716,2952.264767,0.163531005,173347,16335.71,0,0.00027,9201.035207,1,42483.48851,0,28203.82801,0,53679.76594,0,56834.71368,0,77256.06405,0,0,0,0,0,0,1,0,0,0,0,718.6500244,479,4150.660156,613,0.173141003,69,10,5364,1164,5910,1057,5910,1057,534,11137,35815,5504,82712,9318,8470,158126,4809,405078,4809,405089,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,0,0,0,1,0,0,1,0,0,0,0,0,18.41930008,1172.486,18.41702763,3494180096,713.6169457,618.0104035,0.381036013,403908,3385.843275,2932.226289,0.163531005,173347,16359.78,0,0.00027,9202.562238,1,42498.59885,0,28224.55829,0,53690.01104,0,56845.12894,0,77278.94481,0,0,0,0,0,0,1,0,0,0,0,718.6500244,479,4150.660156,613,0.173141003,69,22,5364,1164,5910,1057,5910,1057,534,11137,35815,5504,82712,9318,8470,158126,4809,405078,4809,405089,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,1,0,0,0,0,0,0,1,0,0,0,0,123.4029999,3131.244,123.3072788,90742603776,2696.714933,2335.423639,0.542025983,969472,2696.714933,2335.423639,0.064818896,115936,0,1,0.00016,5538.405248,6,33972.63659,0,13068.15791,2,48701.66288,0,51526.32417,0,59752.23154,0,0,1,0,0,0,0,0,0,0,0,238.6799927,95,4254.220215,363,0.057935499,74,262,4819,487,9369,672,9369,672,6889,2990,36323,989,80823,7078,9505,158412,5204,405238,5204,405248,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0,1,0,0,0,0,0,0,1,0,0,0,0,600,5902.809,596.9242093,90742603776,4968.215089,4302.600479,0.542025983,969472,5615.900965,4863.512901,0.064818896,115936,0,1,0.00008,6763.65687,6,32978.80575,0,10792.73934,2,48135.15888,0,50861.91258,0,56704.78476,0,0,1,0,0,0,0,0,0,0,0,232.3500061,31,4254.220215,536,0.054656401,66,21,9301,607,4302,1548,4302,1548,2322,2868,35331,188,80662,6686,9701,158571,5277,405216,5271,405716,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,0,0,0,0,0,1,449.0549927,4768.128,447.0766777,5.96E+11,4736.586079,4102.003872,0.107228003,463023,156156.99,135235.9203,0,0,0,1,0.00044,34019.35816,0,134782.9703,0,36211.1224,1,137110.6599,0,259733.0011,0,135611.978,0,0,0,1,0,0,0,0,0,0,0,254.7599945,14,3464.719971,155,0.072606102,65,441,5275,2102,6386,4931,7502,12370,9961,15420,27600,5614,101200,4605,9956,256905,6273,445956,5290,528855,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
0,0,0,0,1,0,0,1,0,0,0,0,0,18.41930008,1640.678,18.41813943,3494180096,473.8643557,410.37857,0.381036013,403908,3589.975047,3109.00959,0.163531005,173347,16270.64,0,0.00027,9660.229446,1,42093.47848,0,27928.82531,0,53240.59792,0,56396.754,0,77066.20751,0,0,0,0,0,0,1,0,0,0,0,718.6500244,481,4150.660156,712,0.173141003,69,20,6306,162,6306,162,6306,162,68,10601,35815,5401,82898,9297,8494,158126,4811,405644,4811,405655,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,1,0,0,0,0,0,0,1,0,0,0,0,235.1589966,5495.99,234.9440319,90742603776,2592.058623,2244.788616,0.542025983,969472,8246.432883,7141.620367,0.064818896,115936,0,1,0.00314,8753.819476,6,32409.00262,0,9310.302162,2,47877.59236,0,50506.94419,0,54057.25568,0,0,1,0,0,0,0,0,0,0,0,232.6600037,18,4254.220215,389,0.055549599,68,300,8284,174,4048,1924,4048,1924,4048,1924,22407,347,80488,6336,9874,157843,5345,404869,5330,406053,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,1,0,0,1,0,0,0,0,0,9.350609779,2445.724,9.35054144,3494180096,1341.20342,1161.516233,0.381036013,403908,1996.033711,1728.615901,0.163531005,173347,18049.67,0,0.00027,10218.35209,1,43009.07169,0,29343.37359,0,53752.11881,0,56920.04417,0,78671.39456,0,0,0,0,0,0,1,0,0,0,0,755.8900146,483,4150.660156,593,0.191290006,68,80,5638,332,5638,332,5638,332,146,10759,35815,5767,83209,9495,8411,158126,4775,406002,4775,406013,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
